iter	MultiClass
0	1.086076893
1	1.075509257
2	1.064166339
3	1.053214056
4	1.042295981
5	1.031285462
6	1.020503788
7	1.009693626
8	1.00031133
9	0.990268413
10	0.9810338971
11	0.9717318058
12	0.9627214391
13	0.9532850923
14	0.9452829963
15	0.9357609043
16	0.9273587725
17	0.9193828143
18	0.9121336891
19	0.9039544222
20	0.8963549513
21	0.8892340153
22	0.8819130682
23	0.8742639984
24	0.8674281008
25	0.8606350858
26	0.8529173425
27	0.8460744704
28	0.8393845733
29	0.8345827022
30	0.8290658787
31	0.8231078342
32	0.8168172139
33	0.810918133
34	0.8053238955
35	0.799256269
36	0.7936619828
37	0.7882165295
38	0.7822976313
39	0.777607006
40	0.7734066508
41	0.7681544062
42	0.7622934159
43	0.7573358293
44	0.752435485
45	0.7474894345
46	0.7425918893
47	0.7382398145
48	0.7330876158
49	0.7294481295
50	0.7249365617
51	0.7216401025
52	0.7177030954
53	0.7134249999
54	0.7108770412
55	0.7063033659
56	0.7040417445
57	0.6994076342
58	0.6954393398
59	0.692224704
60	0.6884142395
61	0.6846220465
62	0.681359687
63	0.6794122269
64	0.6762850474
65	0.672491606
66	0.6684247524
67	0.6652540003
68	0.6616361593
69	0.6583941466
70	0.6554368638
71	0.6523442176
72	0.6490617123
73	0.6475144161
74	0.6447570491
75	0.641275708
76	0.6382625326
77	0.6355085183
78	0.6329729241
79	0.6298283878
80	0.6262913768
81	0.6229964285
82	0.6205195054
83	0.6172555859
84	0.6144082355
85	0.611521076
86	0.6085742876
87	0.605805857
88	0.6034776618
89	0.6007632233
90	0.5977359862
91	0.5952420941
92	0.5928427141
93	0.5910877861
94	0.5888134564
95	0.5874280063
96	0.5847891085
97	0.5820118976
98	0.5797210414
99	0.5775060479
100	0.5753024231
101	0.5732236201
102	0.5708183787
103	0.5683686964
104	0.5660210523
105	0.5633053766
106	0.5605076617
107	0.5584346845
108	0.5566684983
109	0.5547927714
110	0.55270138
111	0.550743482
112	0.5489881575
113	0.5466920183
114	0.5443221282
115	0.5421853421
116	0.5401862007
117	0.5381261682
118	0.5360149037
119	0.5339591315
120	0.5323384795
121	0.5302246793
122	0.5285758702
123	0.5266252626
124	0.5249969126
125	0.5229284022
126	0.5208559494
